stop_id,stop_name,stop_desc,stop_lat,stop_lon
350,N35 & LISBON #350,,43.0544761,-87.957515
4087,N27 & RUBY #4087,,43.0988264,-87.9467251
6233,S60 & S3771 #6233,,42.976005,-87.9880806
1810,NATIONAL & S99 #1810,,43.0003777,-88.0356465
2203,NORTH & SHERMAN #2203,,43.0605573,-87.9678857
6358,HARMONEE & MENOMONEE #6358,,43.0502077,-88.0091557
4358,OGDEN & FARWELL #4358,,43.0480569,-87.897176
2754,GRAFTON & LOT #2754,,43.3373023,-87.9267783
7627,EXECUTIVE DRIVE & BLUEMOUND #7627,,43.0343658,-88.1147281
1546,ROOSEVELT & N47 #1546,,43.0836028,-87.9723821
2994,HIGHLAND & N17 #2994,,43.0445175,-87.9337565
4003,COLLEGE & S31 #4003,,42.9303064,-87.9539344
311,S20 & WOOD #311,,42.9237567,-87.9405255
4537,HUMBOLDT & CLARKE #4537,,43.0658241,-87.8979835
4836,PORT WASHINGTON & HAMPTON #4836,,43.1039751,-87.9167773
3844,FOND DU LAC & TAMARACK #3844,,43.0654161,-87.9447255
825,FLORIST & N39 #825,,43.1266063,-87.9607267
917,HAMPTON & HOPKINS #917,,43.104707,-87.9597872
4977,MORGAN & S43 #4977,,42.9812574,-87.967696
4501,SANTA MONICA & CHATEAU #4501,,43.1056273,-87.9069448
2086,S20 & VAN BECK #2086,,42.9726254,-87.9390572
1816,CLEVELAND & S108 #1816,,42.9952271,-88.0461947
5804,BURLEIGH & N39 #5804,,43.075246,-87.9618901
2460,NATIONAL & S68 #2460,,43.0136972,-87.9976163
5174,CLEMENT & MORGAN #5174,,42.981189,-87.8945014
4293,SHERMAN & HAMPTON #4293,,43.1048258,-87.9667278
2699,HOWARD & S89 #2699,,42.9736333,-88.0241631
5067,OKLAHOMA & QUINCY #5067,,42.9883465,-87.9015866
4319,LISBON & N41 #4319,,43.0561261,-87.964586
6327,N76 & GRANTOSA #6327,,43.1105856,-88.0062251
5531,WALNUT & N14 #5531,,43.0527232,-87.9298003
2274,S24 & BURNHAM #2274,,43.010516,-87.9438246
6894,S76 & DAKOTA #6894,,42.9919053,-88.0074406
2002,ATKINSON & N28 #2002,,43.0980053,-87.9479175
4591,N35 & KEEFE #4591,,43.0826416,-87.9572438
1203,FOREST HOME & S20 #1203,,43.0064681,-87.9383922
5508,LAYTON & HATELY #5508,,42.9591278,-87.8527604
5873,BURLEIGH & N63 #5873,,43.075268,-87.9905823
4261,SHERMAN & CAPITOL #4261,,43.089613,-87.9668408
2088,S20 & PLAINFIELD #2088,,42.969038,-87.9390471
1068,MITCHELL & S6 #1068,,43.0123762,-87.9183184
486,WINNEBAGO & N9 #486,,43.0470997,-87.9225886
4429,LUDINGTON & HOYT #4429,,43.0550522,-88.0198626
1354,OAKLAND & CUMBERLAND #1354,,43.1010354,-87.887337
2134,S20 & WILBUR #2134,,42.9773573,-87.938767
4066,N27 & WRIGHT #4066,,43.0640939,-87.947349
8,WISCONSIN & JAMES LOVELL #8,,43.0388797,-87.9201925
2359,S108 & S4165 #2359,,42.9686148,-88.0478736
5309,LINCOLN & WOODWARD #5309,,43.0028448,-87.9010557
2045,GREENFIELD & S15 #2045,,43.0168858,-87.9309457
686,HOWELL & VAN NORMAN #686,,42.9628165,-87.9098049
5310,LINCOLN & LENOX #5310,,43.0028732,-87.8984334
6375,S84 & LINCOLN #6375,,43.0029069,-88.0174068
7790,MITCHELL & S1 #7790,,43.0123619,-87.9108088
943,N92 & COURTLAND #943,,43.1028859,-88.0277247
1887,S11 & LAPHAM #1887,,43.0144267,-87.9256841
4258,SHERMAN & NASH #4258,,43.0842415,-87.9670382
4709,S35 & MITCHELL #4709,,43.0122163,-87.9575943
4993,MORGAN & S86 #4993,,42.981126,-88.019914
7098,HOPKINS & VIENNA #7098,,43.086386,-87.9501163
4474,HUMBOLDT & NORTH #4474,,43.0604427,-87.8978766
5825,BURLEIGH & N84 #5825,,43.0753149,-88.0173343
61,WISCONSIN & N5 #61,,43.0387414,-87.918188
4475,HUMBOLDT & MEINECKE #4475,,43.0618141,-87.8978295
5215,LINCOLN & S13 #5215,,43.0028977,-87.9283037
4094,HAMPTON & N20 #4094,,43.1042641,-87.9367474
2394,MATC NORTH PARK & RIDE #2394,,43.250027,-87.978978
4704,S35 & LINCOLN #4704,,43.0028969,-87.9578157
1266,CHICAGO & CHERRY #1266,,42.9194539,-87.8588898
6076,CAPITOL & N24 #6076,,43.0898171,-87.9419275
6578,PORT WASHINGTON & BERGEN #6578,,43.1720103,-87.9121338
5780,LOCUST & BREMEN #5780,,43.0711667,-87.9001471
5433,LAYTON & W204 #5433,,42.9593174,-87.9129549
4209,N107 & VILLARD #4209,,43.112298,-88.0459263
4144,S108 & HAYES #4144,,43.0008061,-88.0471196
4784,WISCONSIN & N10 #4784,,43.0385924,-87.9245651
7514,N81 & SLESKE #7514,,43.1582887,-88.0114299
39,N76 & GOOD HOPE #39,,43.148912,-88.0055393
8008,PENNSYLVANIA & BOLIVAR #8008,,42.9667474,-87.879645
5907,BURLEIGH & PIERCE #5907,,43.0746873,-87.9029277
5443,LAYTON & S28 #5443,,42.9595079,-87.9512846
5503,LAYTON & NICHOLSON #5503,,42.9588658,-87.870176
5536,WALNUT & N22 #5536,,43.0528266,-87.9400251
8091,COLLEGE LOT SOUTHWEST #8091,,42.9290452,-87.9365791
7184,S6 & ARMOUR #7184,,42.9615567,-87.9192165
6824,N60 & MARION #6824,,43.0956871,-87.9869859
1084,FOREST HOME & S26 #1084,,43.0020468,-87.9464351
6101,CAPITOL & N72 #6101,,43.0900315,-88.0016718
4570,MILWAUKEE & WASHINGTON #4570,,43.0512584,-87.9944514
2350,LAYTON & W9600 #2350,,42.9592646,-88.0333811
2479,CAPITOL & N100 #2479,,43.0894146,-88.0372557
5554,CENTER & N64 #5554,,43.0681274,-87.9918652
4184,MAYFAIR & N2400 #4184,,43.0618944,-88.0474851
2937,HOWELL & GRANGE #2937,,42.9492767,-87.909927
7950,PORT WASHINGTON & RIVERPOINT #7950,,43.1751253,-87.9127735
7583,BROWNDEER & N95 #7583,,43.1775517,-88.0287575
661,HOWELL & S3333 #661,,42.9840176,-87.9063145
2719,W TOWN SQUARE WAY & MEIJER #2719,,42.8990308,-87.9130156
1935,S13 & BARNARD #1935,,42.9569657,-87.9290169
8537,WHITNALL & S4750 #8537,,42.9596281,-87.878195
4046,LAYTON & PIERCE #4046,,43.0240063,-87.9476468
4200,LOVERS LANE & N5100 #4200,,43.1100998,-88.0553877
4567,N60 & VLIET #4567,,43.0502763,-87.9876464
6837,N60 & CHAMBERS #6837,,43.0736758,-87.9874562
4328,HIGHLAND & N38 #4328,,43.0443663,-87.9609473
1517,LINCOLN & KK #1517,,43.0028355,-87.9044141
6709,STATE & N60 #6709,,43.0435872,-87.9865269
6097,CAPITOL & N64 #6097,,43.0901364,-87.9918871
6780,STATE & HARWOOD #6780,,43.0496543,-88.0082718
1975,MLK & LLOYD #1975,,43.0582574,-87.9140874
1973,MLK & RESERVOIR #1973,,43.0550008,-87.9141574
1991,ATKINSON & N12 #1991,,43.0850575,-87.9258853
927,HAMPTON & N60 #927,,43.1048471,-87.9861371
5475,LAYTON & S51 #5475,,42.9592568,-87.9787659
6797,N85 & BROWN DEER #6797,,43.178354,-88.0156848
5855,BURLEIGH & N102 #5855,,43.0747656,-88.0407469
9467,LAYTON & S99 #9467,,42.9592539,-88.0364556
2302,BURNHAM & S53 #2302,,43.0101057,-87.9793861
2745,HIGHLAND & N35 #2745,,43.0447331,-87.9573801
652,HOWELL & CLARENCE #652,,42.9994171,-87.9049388
7194,S 6 & E 3347 #7194,,42.9831483,-87.919047
2400,KILBOURN & VANBUREN #2400,,43.0428967,-87.9031049
2034,BAKER & N 6120 #2034,,43.1276381,-87.9374115
3851,FOND DU LAC & 3823 #3851,,43.0783557,-87.9612847
4405,MARYLAND & LOCUST #4405,,43.0708937,-87.8829056
2029,GREENFIELD & S31 #2029,,43.0169874,-87.9524642
5671,VILLARD & N37 #5671,,43.1119968,-87.9587271
844,TEUTONIA & SILVER MILL #844,,43.1299351,-87.952604
4552,HIGHLAND & 3030 #4552,,43.0446676,-87.9526674
2723,MILL & N91 #2723,,43.1341959,-88.0252219
272,N35 & NORTH #272,,43.0603318,-87.9576001
4218,FARWELL & LAFAYETTE #4218,,43.0569336,-87.888614
775,VLIET & N60 #775,,43.0501106,-87.9872776
5668,VILLARD & TEUTONIA #5668,,43.1119313,-87.9497423
20,FOND DU LAC & N60 #20,,43.0981969,-87.986596
2376,CAPITOL & MARYLAND #2376,,43.089247,-87.8823071
1983,MLK & BURLEIGH #1983,,43.0746144,-87.9139167
6172,SILVER SPRING & BRIDGEWOOD #6172,,43.1187075,-87.9289649
5263,LINCOLN & S90 #5263,,43.0026378,-88.0244867
7750,EDGEWOOD & DOWNER #7750,,43.0818424,-87.878063
3787,CENTER & N41 #3787,,43.0678762,-87.9647674
1627,S84 & WASHINGTON #1627,,43.0197278,-88.0170636
4304,SHERMAN & FONDDULAC #4304,,43.0832275,-87.9674277
4180,NORTH & N120 #4180,,43.0598119,-88.0634025
4139,S108 & LAPHAM #4139,,43.0137623,-88.0469193
6145,SILVER SPRING & N86 #6145,,43.1194674,-88.0186659
3030,NICHOLSON & LAYTON #3030,,42.9584768,-87.8700662
7247,HOPKINS & N28 #7247,,43.0846366,-87.9482279
5571,N92 & CHAMBERS #5571,,43.0730474,-88.0274034
6612,PORT WASHINGTON & 5111 #6612,,43.1100766,-87.9169817
413,WISCONSIN & N18 #413,,43.0387866,-87.935256
764,WISCONSIN & CASS #764,,43.0390848,-87.9017875
4953,HOWARD & LOGAN #4953,,42.9738468,-87.8968545
5342,APPLETON & GRANTOSA #5342,,43.1063061,-88.0180904
2075,S20 & S2761 #2075,,42.9941438,-87.9384858
6044,CAPITOL & ATKINSON #6044,,43.0894479,-87.9360943
9109,CALUMET & N91 #9109,,43.1558134,-88.0250679
4582,LUDINGTON & N85 #4582,,43.0545871,-88.0190057
1981,MLK & HADLEY #1981,,43.0692172,-87.913968
3638,HUMBOLDT & MEINECKE #3638,,43.0617265,-87.8979897
2081,S20 & MORGAN #2081,,42.9812553,-87.9388003
606,VLIET & N33 #606,,43.048636,-87.9555545
4416,KEEFE & N67 #4416,,43.0826852,-87.995154
2522,W TOWN SQUARE WAY & MEIJER #2522,,42.8990356,-87.9132753
1855,ATKINSON & KEEFE #1855,,43.0818161,-87.9188249
432,BAY & CONWAY #432,,43.0009028,-87.8950383
4235,HIGHLAND & MARTIN #4235,,43.0460051,-87.9652559
5349,EDGERTON PARKING LOT #5349,,42.9519896,-88.0020457
5713,VILLARD & SHERMAN #5713,,43.1118964,-87.9667659
6220,S60 & GRANT #6220,,43.0048959,-87.9875458
5217,LINCOLN & S16 #5217,,43.0029868,-87.9331957
8519,HOWARD & PENNSYLVANIA #8519,,42.9737378,-87.8794852
2583,N91 & FLAGG #2583,,43.1247676,-88.0259651
2814,S68 & FOREST HOME #2814,,42.9700913,-87.998098
4764,NORTHWAY & GRANGE #4764,,42.9448221,-87.9882905
1656,FOREST HOME & ROOT RIVER PKWY #1656,,42.950977,-88.027472
7087,HOPKINS & STARK #7087,,43.1065567,-87.9610065
856,TEUTONIA & CORNELL #856,,43.102286,-87.9455863
5105,OKLAHOMA & W11100 #5105,,42.9883163,-88.0503444
112,PERIMETER ROAD & NE ALEXIAN ENTRANCE #112,,43.1850678,-88.0077066
191,CONGRESS & N91 #191,,43.0968884,-88.0265738
4613,N35 & PARKHILL #4613,,43.0328276,-87.9578676
1684,NATIONAL & S29 #1684,,43.0221332,-87.9500101
5097,OKLAHOMA & S80 #5097,,42.9884065,-88.0127959
756,VLIET & N25 #756,,43.0486859,-87.9450745
262,HARTFORD & DOWNER #262,,43.0775071,-87.8782771
1944,S13 & HOLT #1944,,42.9826876,-87.928827
5165,SUPERIOR & 3211 #5165,,42.9859686,-87.869689
6959,N60 & WABASH #6959,,43.1746072,-87.9845473
4422,KEEFE & N53 #4422,,43.0825314,-87.9797756
2590,PACKARD & 6045 #2590,,42.9347021,-87.8608558
542,PORT WASHINGTON & TOWNE CENTER #542,,43.1234657,-87.9153859
6109,CAPITOL & N88 #6109,,43.0898808,-88.0224188
3750,CENTER & N1 #3750,,43.0675962,-87.9107403
2099,S20 & GRANGE #2099,,42.9450074,-87.9392655
7123,N6 & KILBOURN #7123,,43.0417962,-87.9192365
2476,N76 & NORTHRIDGE LAKES #2476,,43.1842459,-88.0041854
2988,HIGHLAND & N15 #2988,,43.044226,-87.9317644
170,N91 & DALLAS #170,,43.1438224,-88.0251503
4873,S76 & LAYTON #4873,,42.9595872,-88.0084847
6181,SILVER SPRING & N39 #6181,,43.1193062,-87.9609068
26,N76 & FLORIST #26,,43.1267847,-88.0058049
2116,S20 & BIRCHWOOD #2116,,42.9397769,-87.9391575
526,BLUEMOUND & N112 #526,,43.0356953,-88.0527662
1901,S13 & S3601 #1901,,42.9792534,-87.929089
8298,WHITNALL & IOWA #8298,,42.9620249,-87.8847041
6218,S60 & BELOIT #6218,,43.0086964,-87.9875068
9460,LAYTON & S76 #9460,,42.9594262,-88.0094421
1229,N60 & CUSTER #1229,,43.1161772,-87.9863255
6568,PORT WASHINGTON & MALL #6568,,43.1494169,-87.9143872
1001,NATIONAL & LINCOLN #1001,,43.0025753,-88.0309993
232,OKLAHOMA & S114 #232,,42.9883076,-88.0544757
3694,NORTH & N23 #3694,,43.0605676,-87.940846
6997,S68 & COLD SPRING #6997,,42.9668073,-87.998294
6207,SILVER SPRING & LOVERSLANE #6207,,43.1193367,-88.0545241
1182,FOREST HOME & S56 #1182,,42.978707,-87.9845978
225,OKLAHOMA & S76 #225,,42.9883858,-88.0073869
142,CONGRESS & N70 #142,,43.0972955,-87.9992845
1447,KK & NORWICH #1447,,42.9719212,-87.8740724
207,CONGRESS & FOND DU LAC #207,,43.0969074,-87.9856873
1510,CHICAGO & MARSHALL #1510,,42.9060996,-87.8650726
